Requirement ID	CRA source	Normative requirement	Product-specific interpretation	Preliminary applicability	Preliminary applicability rationale	Risk assessment dependency	Required security capability	OpenChain cross-check anchors	Notes / evidence prompts
REQ-CRA-ART14-01	Article 14(1)	Notify any actively exploited vulnerability contained in the product to the CSIRT designated as coordinator and to ENISA via the single reporting platform.	TokenStream should define criteria and a decision workflow for identifying actively exploited vulnerabilities in TokenStream code, dependencies, containers, optional services, and integration paths; formal ENISA/CSIRT reporting is triggered only if the project enters CRA market-placement/manufacturer scope.	Formal reporting conditional on legal scope; internal readiness applicable	The current objective excludes CE marking and formal market placement, but TokenStream still needs a readiness path for actively exploited vulnerabilities because they drive urgent advisories, remediation, and user notification.	Risk assessment should define what "contained in TokenStream" means for optional services, dependencies, deployment configs, and provider/MCP integrations.	Actively exploited vulnerability detection; reportability triage; ENISA/CSIRT reporting workflow trigger; evidence capture.	OpenChain §4.1 Vulnerability Ingestion & Monitoring; §4.2 Risk Adjudication; §4.4 Disclosure & Regulatory Reporting; §4.5 Art. 14 Notification RACI	Evidence candidates: reportability decision tree; vulnerability register; incident commander/RACI; single reporting platform runbook placeholder.
REQ-CRA-ART14-02A	Article 14(2)(a)	Submit early warning for an actively exploited vulnerability without undue delay and within 24 hours of awareness, indicating affected Member States where applicable.	TokenStream should have an internal 24-hour clock trigger for suspected actively exploited vulnerabilities, including awareness timestamp, affected versions, affected deployment channels, and geographic/user impact if known.	Formal 24h reporting conditional on legal scope; internal clock readiness applicable	Even if not formally reportable today, a 24-hour internal triage target helps preserve evidence and supports timely user notification for self-hosted operators.	Risk assessment should define awareness criteria, severity triggers, and what information is realistically available within 24 hours.	Awareness timestamping; 24-hour early warning workflow; affected-version and affected-user assessment; evidence preservation.	OpenChain §4.4.2-§4.4.5 Reporting; §4.5 Art. 14 RACI	Evidence candidates: intake timestamp; triage record; early warning template; affected deployment matrix.
REQ-CRA-ART14-02B	Article 14(2)(b)	Submit vulnerability notification within 72 hours of awareness unless already provided, with product/exploit/vulnerability information, corrective or mitigating measures, user actions, and sensitivity indication.	TokenStream should maintain a 72-hour vulnerability notification package template covering TokenStream version/image/component identity, exploit nature, vulnerability description, mitigations, user actions, and sensitivity classification.	Formal 72h reporting conditional on legal scope; internal readiness applicable	TokenStream users may need mitigation instructions quickly, and the project needs a structured way to move from initial awareness to actionable technical information.	Risk assessment should define sensitivity handling and minimum information needed for operators without over-disclosing exploit details.	72-hour report package; sensitivity classification; mitigation/user-action guidance; product identification.	OpenChain §4.2 Risk Adjudication; §4.4 Disclosure & Regulatory Reporting; §4.5 Art. 14 Notification RACI	Evidence candidates: 72-hour notification template; mitigation bulletin; sensitivity decision log; affected artifact list.
REQ-CRA-ART14-02C	Article 14(2)(c)	Submit final vulnerability report no later than 14 days after a corrective or mitigating measure is available, including vulnerability description, severity/impact, malicious actor information where available, and details of security update or corrective measures.	TokenStream should prepare a final vulnerability report/advisory package after a fix or mitigation, including severity, impact, affected versions, exploit evidence, fix details, user upgrade steps, and any known malicious activity.	Formal 14-day final reporting conditional on legal scope; internal advisory readiness applicable	This overlaps with public advisory needs and supports later evidence review even without formal reporting.	Risk assessment should define severity/impact method and what actor/exploit information is safe and useful to disclose.	Final report; vulnerability severity and impact analysis; fix/mitigation documentation; advisory publication.	OpenChain §4.4 Disclosure & Regulatory Reporting; §6.1 Support Period & Update Obligations	Evidence candidates: final report template; GitHub Security Advisory; release notes; CVE/CVSS/EPSS notes if used.
REQ-CRA-ART14-03	Article 14(3)	Notify any severe incident having an impact on the security of the product to the CSIRT designated as coordinator and ENISA via the single reporting platform.	TokenStream should define severe security incident criteria for its self-hosted runtime, including compromise or suspected compromise of auth, admin APIs, API keys, corpora, provider/tool routes, ingestion pipeline, retrieval indexes, release artifacts, or update distribution.	Formal incident reporting conditional on legal scope; internal incident readiness applicable	The product can affect confidentiality, integrity, and availability of user-controlled corpora and connected tools. Severe incidents require a different workflow from ordinary bugs or vulnerabilities.	Risk assessment should define severe incident scenarios and impact thresholds for TokenStream deployments.	Severe incident classification; incident response workflow; reportability triage; evidence preservation.	OpenChain §4.4 Disclosure & Regulatory Reporting; §4.5 Art. 14 Notification RACI; §8.1 CRA and NIS2	Evidence candidates: incident classification matrix; incident log; response runbook; reportability assessment.
REQ-CRA-ART14-04A	Article 14(4)(a)	Submit early warning for a severe product-security incident without undue delay and within 24 hours of awareness, including whether unlawful or malicious acts are suspected and affected Member States where applicable.	TokenStream should timestamp awareness of severe incidents and prepare an early internal incident report containing suspected malicious/unlawful cause, affected product versions, affected services, and known affected users or deployments.	Formal 24h incident reporting conditional on legal scope; internal readiness applicable	A disciplined early-warning step avoids losing incident facts and helps determine whether user notification is needed before full root-cause analysis is complete.	Risk assessment should define awareness thresholds and what "severe" means for TokenStream.	24-hour incident early warning; initial cause assessment; affected-user/deployment assessment; escalation.	OpenChain §4.4.2-§4.4.5 Reporting; §4.5 Art. 14 RACI	Evidence candidates: incident intake form; awareness timestamp; initial severity assessment; escalation record.
REQ-CRA-ART14-04B	Article 14(4)(b)	Submit incident notification within 72 hours of awareness unless already provided, including incident nature, initial assessment, corrective/mitigating measures taken, user measures, and sensitivity indication.	TokenStream should maintain a 72-hour incident notification template covering incident type, affected security properties, initial scope, mitigations, user actions, and sensitivity.	Formal 72h incident reporting conditional on legal scope; internal readiness applicable	Operators of TokenStream may need early mitigations such as rotating keys, disabling MCP tools, isolating services, upgrading images, or purging affected artifacts.	Risk assessment should define incident sensitivity handling and minimum viable information for users.	72-hour incident update; initial impact assessment; mitigation guidance; sensitivity handling.	OpenChain §4.4 Disclosure & Regulatory Reporting; §4.5 Art. 14 Notification RACI	Evidence candidates: 72-hour incident report template; mitigation instructions; user communication draft; sensitivity log.
REQ-CRA-ART14-04C	Article 14(4)(c)	Submit final incident report within one month after the incident notification, including detailed description, severity/impact, likely threat or root cause, and applied/ongoing mitigations.	TokenStream should produce a post-incident report for severe incidents, covering timeline, root cause, impact, severity, affected versions/deployments, mitigations, remaining risks, and follow-up actions.	Formal one-month reporting conditional on legal scope; internal post-incident review applicable	Post-incident review is needed to feed corrective actions, risk assessment updates, and control improvements.	Risk assessment should define impact scoring and what incidents require risk reassessment.	Post-incident review; root-cause analysis; corrective action tracking; final report.	OpenChain §4.3 Actionable Decisions; §4.4 Disclosure; §2.4 Sustainability & Review	Evidence candidates: post-incident report; timeline; RCA; corrective action tracker; risk assessment update.
REQ-CRA-ART14-05A	Article 14(5)(a)	A product-security incident is severe if it negatively affects or is capable of negatively affecting availability, authenticity, integrity, or confidentiality of sensitive or important data or functions.	TokenStream should classify incidents as severe when they affect or could affect API authentication, admin access, machine keys, provider credentials, corpora, source documents, retrieval indexes, policies, runtime snapshots, tool execution, or essential API availability.	Applicable as internal severity criterion; formal reportability conditional on legal scope	TokenStream's protected assets include sensitive user content and security-relevant configuration. This criterion directly maps to the product risk model.	Risk assessment should define "sensitive or important data or functions" for TokenStream.	Severe incident criteria; asset criticality model; CIAA impact classification; reportability decision support.	OpenChain §4.3 Actionable Decisions; §4.5 Art. 14 Notification RACI	Evidence candidates: critical asset list; severity matrix; incident classification examples.
REQ-CRA-ART14-05B	Article 14(5)(b)	A product-security incident is severe if it led or could lead to introduction or execution of malicious code in the product or in users' network and information systems.	TokenStream should treat parser exploitation, malicious ingestion artifacts, compromised container images, malicious MCP/tool execution paths, poisoned updates, or code execution in service containers/users' systems as severe incident candidates.	Applicable as internal severity criterion; formal reportability conditional on legal scope	TokenStream processes uploaded/remote content and can invoke tools/providers. Malicious code execution or introduction is a high-impact scenario for self-hosted deployments.	Risk assessment should identify code-execution and malicious-content threat scenarios.	Malicious-code incident classification; parser/tool sandboxing review; supply-chain incident detection; emergency mitigation.	OpenChain §3.4 Secure Development Properties; §4.3 Actionable Decisions; §4.4 Disclosure	Evidence candidates: threat scenarios; parser security tests; image provenance records; incident decision log.
